classical electron radius,2.817940326700000000000000000000E-15,2.700000000000000000000000000000E-24,m
Compton wavelength,2.426310238900000000000000000000E-12,1.600000000000000000000000000000E-21,m
Compton wavelength over 2 pi,3.861592680000000000000000000000E-13,2.500000000000000000000000000000E-22,m
conductance quantum,7.748091734600000000000000000000E-05,2.500000000000000000000000000000E-14,S
conventional value of Josephson constant,4.835979000000000000000000000000E+14,(exact),Hz V^-1
conventional value of von Klitzing constant,2.581280700000000000000000000000E+04,(exact),ohm
Cu x unit,1.002076970000000000000000000000E-13,2.800000000000000000000000000000E-20,m
deuteron-electron mag. mom. ratio,-4.664345537000000000000000000000E-04,3.900000000000000000000000000000E-12,
deuteron-electron mass ratio,3.670482965200000000000000000000E+03,1.500000000000000000000000000000E-06,
deuteron g factor,8.574382308000000000000000000000E-01,7.200000000000000000000000000000E-09,
deuteron mag. mom.,4.330734890000000000000000000000E-27,1.000000000000000000000000000000E-34,J T^-1
deuteron mag. mom. to Bohr magneton ratio,4.669754556000000000000000000000E-04,3.900000000000000000000000000000E-12,
deuteron mag. mom. to nuclear magneton ratio,8.574382308000000000000000000000E-01,7.200000000000000000000000000000E-09,
deuteron mass,3.343583480000000000000000000000E-27,1.500000000000000000000000000000E-34,kg
deuteron mass energy equivalent,3.005062970000000000000000000000E-10,1.300000000000000000000000000000E-17,J
deuteron mass energy equivalent in MeV,1.875612859000000000000000000000E+03,4.100000000000000000000000000000E-05,MeV
deuteron mass in u,2.013553212712000000000000000000E+00,7.700000000000000000000000000000E-11,u
deuteron molar mass,2.013553212712000000000000000000E-03,7.700000000000000000000000000000E-14,kg mol^-1
deuteron-neutron mag. mom. ratio,-4.482065200000000000000000000000E-01,1.100000000000000000000000000000E-07,
deuteron-proton mag. mom. ratio,3.070122070000000000000000000000E-01,2.400000000000000000000000000000E-09,
deuteron-proton mass ratio,1.999007500970000000000000000000E+00,1.800000000000000000000000000000E-10,
deuteron rms charge radius,2.142400000000000000000000000000E-15,2.100000000000000000000000000000E-18,m
electric constant,8.854187817000000000000000000000E-12,(exact),F m^-1
electron charge to mass quotient,-1.758820088000000000000000000000E+11,3.900000000000000000000000000000E+03,C kg^-1
electron-deuteron mag. mom. ratio,-2.143923498000000000000000000000E+03,1.800000000000000000000000000000E-05,
electron-deuteron mass ratio,2.724437109500000000000000000000E-04,1.100000000000000000000000000000E-13,
electron g factor,-2.002319304361530000000000000000E+00,5.300000000000000000000000000000E-13,
electron gyromag. ratio,1.760859708000000000000000000000E+11,3.900000000000000000000000000000E+03,s^-1 T^-1
electron gyromag. ratio over 2 pi,2.802495266000000000000000000000E+04,6.200000000000000000000000000000E-04,MHz T^-1
electron-helion mass ratio,1.819543076100000000000000000000E-04,1.700000000000000000000000000000E-13,
electron mag. mom.,-9.284764300000000000000000000000E-24,2.100000000000000000000000000000E-31,J T^-1
electron mag. mom. anomaly,1.159652180760000000000000000000E-03,2.700000000000000000000000000000E-13,
electron mag. mom. to Bohr magneton ratio,-1.001159652180760000000000000000E+00,2.700000000000000000000000000000E-13,
electron mag. mom. to nuclear magneton ratio,-1.838281970900000000000000000000E+03,7.500000000000000000000000000000E-07,
electron mass,9.109382910000000000000000000000E-31,4.000000000000000000000000000000E-38,kg
electron mass energy equivalent,8.187105060000000000000000000000E-14,3.600000000000000000000000000000E-21,J
electron mass energy equivalent in MeV,5.109989280000000000000000000000E-01,1.100000000000000000000000000000E-08,MeV
electron mass in u,5.485799094600000000000000000000E-04,2.200000000000000000000000000000E-13,u
electron molar mass,5.485799094600000000000000000000E-07,2.200000000000000000000000000000E-16,kg mol^-1
electron-muon mag. mom. ratio,2.067669896000000000000000000000E+02,5.200000000000000000000000000000E-06,
electron-muon mass ratio,4.836331660000000000000000000000E-03,1.200000000000000000000000000000E-10,
electron-neutron mag. mom. ratio,9.609205000000000000000000000000E+02,2.300000000000000000000000000000E-04,
electron-neutron mass ratio,5.438673446100000000000000000000E-04,3.200000000000000000000000000000E-13,
electron-proton mag. mom. ratio,-6.582106848000000000000000000000E+02,5.400000000000000000000000000000E-06,
electron-proton mass ratio,5.446170217800000000000000000000E-04,2.200000000000000000000000000000E-13,
electron-tau mass ratio,2.875920000000000000000000000000E-04,2.600000000000000000000000000000E-08,
electron to alpha particle mass ratio,1.370933555780000000000000000000E-04,5.500000000000000000000000000000E-14,
electron to shielded helion mag. mom. ratio,8.640582570000000000000000000000E+02,1.000000000000000000000000000000E-05,
electron to shielded proton mag. mom. ratio,-6.582275971000000000000000000000E+02,7.200000000000000000000000000000E-06,
electron-triton mass ratio,1.819200065300000000000000000000E-04,1.700000000000000000000000000000E-13,
electron volt,1.602176565000000000000000000000E-19,3.500000000000000000000000000000E-27,J
electron volt-atomic mass unit relationship,1.073544150000000000000000000000E-09,2.400000000000000000000000000000E-17,u
electron volt-hartree relationship,3.674932379000000000000000000000E-02,8.100000000000000000000000000000E-10,E_h
electron volt-hertz relationship,2.417989348000000000000000000000E+14,5.300000000000000000000000000000E+06,Hz
electron volt-inverse meter relationship,8.065544290000000000000000000000E+05,1.800000000000000000000000000000E-02,m^-1
electron volt-joule relationship,1.602176565000000000000000000000E-19,3.500000000000000000000000000000E-27,J
electron volt-kelvin relationship,1.160451900000000000000000000000E+04,1.100000000000000000000000000000E-02,K
electron volt-kilogram relationship,1.782661845000000000000000000000E-36,3.900000000000000000000000000000E-44,kg
elementary charge,1.602176565000000000000000000000E-19,3.500000000000000000000000000000E-27,C
elementary charge over h,2.417989348000000000000000000000E+14,5.300000000000000000000000000000E+06,A J^-1
Faraday constant,9.648533650000000000000000000000E+04,2.100000000000000000000000000000E-03,C mol^-1
Faraday constant for conventional electric current,9.648533210000000000000000000000E+04,4.300000000000000000000000000000E-03,C_90 mol^-1
Fermi coupling constant,1.166364000000000000000000000000E-05,5.000000000000000000000000000000E-11,GeV^-2
fine-structure constant,7.297352569800000000000000000000E-03,2.400000000000000000000000000000E-12,
first radiation constant,3.741771530000000000000000000000E-16,1.700000000000000000000000000000E-23,W m^2
first radiation constant for spectral radiance,1.191042869000000000000000000000E-16,5.300000000000000000000000000000E-24,W m^2 sr^-1
hartree-atomic mass unit relationship,2.921262324600000000000000000000E-08,2.100000000000000000000000000000E-17,u
hartree-electron volt relationship,2.721138505000000000000000000000E+01,6.000000000000000000000000000000E-07,eV
Hartree energy,4.359744340000000000000000000000E-18,1.900000000000000000000000000000E-25,J
Hartree energy in eV,2.721138505000000000000000000000E+01,6.000000000000000000000000000000E-07,eV
hartree-hertz relationship,6.579683920729000000000000000000E+15,3.300000000000000000000000000000E+04,Hz
hartree-inverse meter relationship,2.194746313708000000000000000000E+07,1.100000000000000000000000000000E-04,m^-1
hartree-joule relationship,4.359744340000000000000000000000E-18,1.900000000000000000000000000000E-25,J
hartree-kelvin relationship,3.157750400000000000000000000000E+05,2.900000000000000000000000000000E-01,K
hartree-kilogram relationship,4.850869790000000000000000000000E-35,2.100000000000000000000000000000E-42,kg
helion-electron mass ratio,5.495885275400000000000000000000E+03,5.000000000000000000000000000000E-06,
helion g factor,-4.255250613000000000000000000000E+00,5.000000000000000000000000000000E-08,
helion mag. mom.,-1.074617486000000000000000000000E-26,2.700000000000000000000000000000E-34,J T^-1
helion mag. mom. to Bohr magneton ratio,-1.158740958000000000000000000000E-03,1.400000000000000000000000000000E-11,
helion mag. mom. to nuclear magneton ratio,-2.127625306000000000000000000000E+00,2.500000000000000000000000000000E-08,
helion mass,5.006412340000000000000000000000E-27,2.200000000000000000000000000000E-34,kg
helion mass energy equivalent,4.499539020000000000000000000000E-10,2.000000000000000000000000000000E-17,J
helion mass energy equivalent in MeV,2.808391482000000000000000000000E+03,6.200000000000000000000000000000E-05,MeV
helion mass in u,3.014932246800000000000000000000E+00,2.500000000000000000000000000000E-09,u
helion molar mass,3.014932246800000000000000000000E-03,2.500000000000000000000000000000E-12,kg mol^-1
helion-proton mass ratio,2.993152670700000000000000000000E+00,2.500000000000000000000000000000E-09,
hertz-atomic mass unit relationship,4.439821668900000000000000000000E-24,3.100000000000000000000000000000E-33,u
hertz-electron volt relationship,4.135667516000000000000000000000E-15,9.100000000000000000000000000000E-23,eV
hertz-hartree relationship,1.519829846004500000000000000000E-16,7.600000000000000000000000000000E-28,E_h
hertz-inverse meter relationship,3.335640951000000000000000000000E-09,(exact),m^-1
hertz-joule relationship,6.626069570000000000000000000000E-34,2.900000000000000000000000000000E-41,J
hertz-kelvin relationship,4.799243400000000000000000000000E-11,4.400000000000000000000000000000E-17,K
hertz-kilogram relationship,7.372496680000000000000000000000E-51,3.300000000000000000000000000000E-58,kg
inverse fine-structure constant,1.370359990740000000000000000000E+02,4.400000000000000000000000000000E-08,
inverse meter-atomic mass unit relationship,1.331025051200000000000000000000E-15,9.400000000000000000000000000000E-25,u
inverse meter-electron volt relationship,1.239841930000000000000000000000E-06,2.700000000000000000000000000000E-14,eV
inverse meter-hartree relationship,4.556335252755000000000000000000E-08,2.300000000000000000000000000000E-19,E_h
inverse meter-hertz relationship,2.997924580000000000000000000000E+08,(exact),Hz
inverse meter-joule relationship,1.986445684000000000000000000000E-25,8.800000000000000000000000000000E-33,J
inverse meter-kelvin relationship,1.438777000000000000000000000000E-02,1.300000000000000000000000000000E-08,K
inverse meter-kilogram relationship,2.210218902000000000000000000000E-42,9.800000000000000000000000000000E-50,kg
inverse of conductance quantum,1.290640372170000000000000000000E+04,4.200000000000000000000000000000E-06,ohm
Josephson constant,4.835978700000000000000000000000E+14,1.100000000000000000000000000000E+07,Hz V^-1
joule-atomic mass unit relationship,6.700535850000000000000000000000E+09,3.000000000000000000000000000000E+02,u
joule-electron volt relationship,6.241509340000000000000000000000E+18,1.400000000000000000000000000000E+11,eV
joule-hartree relationship,2.293712480000000000000000000000E+17,1.000000000000000000000000000000E+10,E_h
joule-hertz relationship,1.509190311000000000000000000000E+33,6.700000000000000000000000000000E+25,Hz
joule-inverse meter relationship,5.034117010000000000000000000000E+24,2.200000000000000000000000000000E+17,m^-1
joule-kelvin relationship,7.242971600000000000000000000000E+22,6.600000000000000000000000000000E+16,K
joule-kilogram relationship,1.112650056000000000000000000000E-17,(exact),kg
kelvin-atomic mass unit relationship,9.251086800000000000000000000000E-14,8.400000000000000000000000000000E-20,u
kelvin-electron volt relationship,8.617332400000000000000000000000E-05,7.800000000000000000000000000000E-11,eV
kelvin-hartree relationship,3.166811400000000000000000000000E-06,2.900000000000000000000000000000E-12,E_h
kelvin-hertz relationship,2.083661800000000000000000000000E+10,1.900000000000000000000000000000E+04,Hz
kelvin-inverse meter relationship,6.950347600000000000000000000000E+01,6.300000000000000000000000000000E-05,m^-1
kelvin-joule relationship,1.380648800000000000000000000000E-23,1.300000000000000000000000000000E-29,J
kelvin-kilogram relationship,1.536179000000000000000000000000E-40,1.400000000000000000000000000000E-46,kg
kilogram-atomic mass unit relationship,6.022141290000000000000000000000E+26,2.700000000000000000000000000000E+19,u
kilogram-electron volt relationship,5.609588850000000000000000000000E+35,1.200000000000000000000000000000E+28,eV
kilogram-hartree relationship,2.061485968000000000000000000000E+34,9.100000000000000000000000000000E+26,E_h
kilogram-hertz relationship,1.356392608000000000000000000000E+50,6.000000000000000000000000000000E+42,Hz
kilogram-inverse meter relationship,4.524438730000000000000000000000E+41,2.000000000000000000000000000000E+34,m^-1
kilogram-joule relationship,8.987551787000000000000000000000E+16,(exact),J
kilogram-kelvin relationship,6.509658200000000000000000000000E+39,5.900000000000000000000000000000E+33,K
lattice parameter of silicon,5.431020504000000000000000000000E-10,8.900000000000000000000000000000E-18,m
"Loschmidt constant (273.15 K, 100 kPa)",2.651646200000000000000000000000E+25,2.400000000000000000000000000000E+19,m^-3
"Loschmidt constant (273.15 K, 101.325 kPa)",2.686780500000000000000000000000E+25,2.400000000000000000000000000000E+19,m^-3
mag. constant,1.256637061400000000000000000000E-06,(exact),N A^-2
mag. flux quantum,2.067833758000000000000000000000E-15,4.600000000000000000000000000000E-23,Wb
molar gas constant,8.314462100000000000000000000000E+00,7.500000000000000000000000000000E-06,J mol^-1 K^-1
molar mass constant,1.000000000000000000000000000000E-03,(exact),kg mol^-1
molar mass of carbon-12,1.200000000000000000000000000000E-02,(exact),kg mol^-1
molar Planck constant,3.990312717600000000000000000000E-10,2.800000000000000000000000000000E-19,J s mol^-1
molar Planck constant times c,1.196265657790000000000000000000E-01,8.400000000000000000000000000000E-11,J m mol^-1
"molar volume of ideal gas (273.15 K, 100 kPa)",2.271095300000000000000000000000E-02,2.100000000000000000000000000000E-08,m^3 mol^-1
"molar volume of ideal gas (273.15 K, 101.325 kPa)",2.241396800000000000000000000000E-02,2.000000000000000000000000000000E-08,m^3 mol^-1
molar volume of silicon,1.205883301000000000000000000000E-05,8.000000000000000000000000000000E-13,m^3 mol^-1
Mo x unit,1.002099520000000000000000000000E-13,5.300000000000000000000000000000E-20,m
muon Compton wavelength,1.173444103000000000000000000000E-14,3.000000000000000000000000000000E-22,m
muon Compton wavelength over 2 pi,1.867594294000000000000000000000E-15,4.700000000000000000000000000000E-23,m
muon-electron mass ratio,2.067682843000000000000000000000E+02,5.200000000000000000000000000000E-06,
muon g factor,-2.002331841800000000000000000000E+00,1.300000000000000000000000000000E-09,
muon mag. mom.,-4.490448070000000000000000000000E-26,1.500000000000000000000000000000E-33,J T^-1
muon mag. mom. anomaly,1.165920910000000000000000000000E-03,6.300000000000000000000000000000E-10,
muon mag. mom. to Bohr magneton ratio,-4.841970440000000000000000000000E-03,1.200000000000000000000000000000E-10,
muon mag. mom. to nuclear magneton ratio,-8.890596970000000000000000000000E+00,2.200000000000000000000000000000E-07,
muon mass,1.883531475000000000000000000000E-28,9.600000000000000000000000000000E-36,kg
muon mass energy equivalent,1.692833667000000000000000000000E-11,8.600000000000000000000000000000E-19,J
muon mass energy equivalent in MeV,1.056583715000000000000000000000E+02,3.500000000000000000000000000000E-06,MeV
muon mass in u,1.134289267000000000000000000000E-01,2.900000000000000000000000000000E-09,u
muon molar mass,1.134289267000000000000000000000E-04,2.900000000000000000000000000000E-12,kg mol^-1
muon-neutron mass ratio,1.124545177000000000000000000000E-01,2.800000000000000000000000000000E-09,
muon-proton mag. mom. ratio,-3.183345107000000000000000000000E+00,8.400000000000000000000000000000E-08,
muon-proton mass ratio,1.126095272000000000000000000000E-01,2.800000000000000000000000000000E-09,
muon-tau mass ratio,5.946490000000000000000000000000E-02,5.400000000000000000000000000000E-06,
natural unit of action,1.054571726000000000000000000000E-34,4.700000000000000000000000000000E-42,J s
natural unit of action in eV s,6.582119280000000000000000000000E-16,1.500000000000000000000000000000E-23,eV s
natural unit of energy,8.187105060000000000000000000000E-14,3.600000000000000000000000000000E-21,J
natural unit of energy in MeV,5.109989280000000000000000000000E-01,1.100000000000000000000000000000E-08,MeV
natural unit of length,3.861592680000000000000000000000E-13,2.500000000000000000000000000000E-22,m
natural unit of mass,9.109382910000000000000000000000E-31,4.000000000000000000000000000000E-38,kg
natural unit of mom.um,2.730924290000000000000000000000E-22,1.200000000000000000000000000000E-29,kg m s^-1
natural unit of mom.um in MeV/c,5.109989280000000000000000000000E-01,1.100000000000000000000000000000E-08,MeV/c
natural unit of time,1.288088668330000000000000000000E-21,8.300000000000000000000000000000E-31,s
natural unit of velocity,2.997924580000000000000000000000E+08,(exact),m s^-1
neutron Compton wavelength,1.319590906800000000000000000000E-15,1.100000000000000000000000000000E-24,m
neutron Compton wavelength over 2 pi,2.100194156800000000000000000000E-16,1.700000000000000000000000000000E-25,m
neutron-electron mag. mom. ratio,1.040668820000000000000000000000E-03,2.500000000000000000000000000000E-10,
neutron-electron mass ratio,1.838683660500000000000000000000E+03,1.100000000000000000000000000000E-06,
neutron g factor,-3.826085450000000000000000000000E+00,9.000000000000000000000000000000E-07,
neutron gyromag. ratio,1.832471790000000000000000000000E+08,4.300000000000000000000000000000E+01,s^-1 T^-1
neutron gyromag. ratio over 2 pi,2.916469430000000000000000000000E+01,6.900000000000000000000000000000E-06,MHz T^-1
neutron mag. mom.,-9.662364700000000000000000000000E-27,2.300000000000000000000000000000E-33,J T^-1
neutron mag. mom. to Bohr magneton ratio,-1.041875630000000000000000000000E-03,2.500000000000000000000000000000E-10,
neutron mag. mom. to nuclear magneton ratio,-1.913042720000000000000000000000E+00,4.500000000000000000000000000000E-07,
neutron mass,1.674927351000000000000000000000E-27,7.400000000000000000000000000000E-35,kg
neutron mass energy equivalent,1.505349631000000000000000000000E-10,6.600000000000000000000000000000E-18,J
neutron mass energy equivalent in MeV,9.395653790000000000000000000000E+02,2.100000000000000000000000000000E-05,MeV
neutron mass in u,1.008664916000000000000000000000E+00,4.300000000000000000000000000000E-10,u
neutron molar mass,1.008664916000000000000000000000E-03,4.300000000000000000000000000000E-13,kg mol^-1
neutron-muon mass ratio,8.892484000000000000000000000000E+00,2.200000000000000000000000000000E-07,
neutron-proton mag. mom. ratio,-6.849793400000000000000000000000E-01,1.600000000000000000000000000000E-07,
neutron-proton mass difference,2.305573920000000000000000000000E-30,7.600000000000000000000000000000E-37,
neutron-proton mass difference energy equivalent,2.072146500000000000000000000000E-13,6.800000000000000000000000000000E-20,
neutron-proton mass difference energy equivalent in MeV,1.293332170000000000000000000000E+00,4.200000000000000000000000000000E-07,
neutron-proton mass difference in u,1.388449190000000000000000000000E-03,4.500000000000000000000000000000E-10,
neutron-proton mass ratio,1.001378419170000000000000000000E+00,4.500000000000000000000000000000E-10,
neutron-tau mass ratio,5.287900000000000000000000000000E-01,4.800000000000000000000000000000E-05,
neutron to shielded proton mag. mom. ratio,-6.849969400000000000000000000000E-01,1.600000000000000000000000000000E-07,
Newtonian constant of gravitation,6.673840000000000000000000000000E-11,8.000000000000000000000000000000E-15,m^3 kg^-1 s^-2
Newtonian constant of gravitation over h-bar c,6.708370000000000000000000000000E-39,8.000000000000000000000000000000E-43,(GeV/c^2)^-2
nuclear magneton,5.050783530000000000000000000000E-27,1.100000000000000000000000000000E-34,J T^-1
nuclear magneton in eV/T,3.152451260500000000000000000000E-08,2.200000000000000000000000000000E-17,eV T^-1
nuclear magneton in inverse meters per tesla,2.542623527000000000000000000000E-02,5.600000000000000000000000000000E-10,m^-1 T^-1
nuclear magneton in K/T,3.658268200000000000000000000000E-04,3.300000000000000000000000000000E-10,K T^-1
nuclear magneton in MHz/T,7.622593570000000000000000000000E+00,1.700000000000000000000000000000E-07,MHz T^-1
Planck constant,6.626069570000000000000000000000E-34,2.900000000000000000000000000000E-41,J s
Planck constant in eV s,4.135667516000000000000000000000E-15,9.100000000000000000000000000000E-23,eV s
Planck constant over 2 pi,1.054571726000000000000000000000E-34,4.700000000000000000000000000000E-42,J s
Planck constant over 2 pi in eV s,6.582119280000000000000000000000E-16,1.500000000000000000000000000000E-23,eV s
Planck constant over 2 pi times c in MeV fm,1.973269718000000000000000000000E+02,4.400000000000000000000000000000E-06,MeV fm
Planck length,1.616199000000000000000000000000E-35,9.700000000000000000000000000000E-40,m
Planck mass,2.176510000000000000000000000000E-08,1.300000000000000000000000000000E-12,kg
Planck mass energy equivalent in GeV,1.220932000000000000000000000000E+19,7.300000000000000000000000000000E+14,GeV
Planck temperature,1.416833000000000000000000000000E+32,8.500000000000000000000000000000E+27,K
Planck time,5.391060000000000000000000000000E-44,3.200000000000000000000000000000E-48,s
proton charge to mass quotient,9.578833580000000000000000000000E+07,2.100000000000000000000000000000E+00,C kg^-1
proton Compton wavelength,1.321409856230000000000000000000E-15,9.400000000000000000000000000000E-25,m
proton Compton wavelength over 2 pi,2.103089104700000000000000000000E-16,1.500000000000000000000000000000E-25,m
proton-electron mass ratio,1.836152672450000000000000000000E+03,7.500000000000000000000000000000E-07,
proton g factor,5.585694713000000000000000000000E+00,4.600000000000000000000000000000E-08,
proton gyromag. ratio,2.675222005000000000000000000000E+08,6.300000000000000000000000000000E+00,s^-1 T^-1
proton gyromag. ratio over 2 pi,4.257748060000000000000000000000E+01,1.000000000000000000000000000000E-06,MHz T^-1
proton mag. mom.,1.410606743000000000000000000000E-26,3.300000000000000000000000000000E-34,J T^-1
proton mag. mom. to Bohr magneton ratio,1.521032210000000000000000000000E-03,1.200000000000000000000000000000E-11,
proton mag. mom. to nuclear magneton ratio,2.792847356000000000000000000000E+00,2.300000000000000000000000000000E-08,
proton mag. shielding correction,2.569400000000000000000000000000E-05,1.400000000000000000000000000000E-08,
proton mass,1.672621777000000000000000000000E-27,7.400000000000000000000000000000E-35,kg
proton mass energy equivalent,1.503277484000000000000000000000E-10,6.600000000000000000000000000000E-18,J
proton mass energy equivalent in MeV,9.382720460000000000000000000000E+02,2.100000000000000000000000000000E-05,MeV
proton mass in u,1.007276466812000000000000000000E+00,9.000000000000000000000000000000E-11,u
proton molar mass,1.007276466812000000000000000000E-03,9.000000000000000000000000000000E-14,kg mol^-1
proton-muon mass ratio,8.880243310000000000000000000000E+00,2.200000000000000000000000000000E-07,
proton-neutron mag. mom. ratio,-1.459898060000000000000000000000E+00,3.400000000000000000000000000000E-07,
proton-neutron mass ratio,9.986234782600000000000000000000E-01,4.500000000000000000000000000000E-10,
proton rms charge radius,8.775000000000000000000000000000E-16,5.100000000000000000000000000000E-18,m
proton-tau mass ratio,5.280630000000000000000000000000E-01,4.800000000000000000000000000000E-05,
quantum of circulation,3.636947552000000000000000000000E-04,2.400000000000000000000000000000E-13,m^2 s^-1
quantum of circulation times 2,7.273895104000000000000000000000E-04,4.700000000000000000000000000000E-13,m^2 s^-1
Rydberg constant,1.097373156853900000000000000000E+07,5.500000000000000000000000000000E-05,m^-1
Rydberg constant times c in Hz,3.289841960364000000000000000000E+15,1.700000000000000000000000000000E+04,Hz
Rydberg constant times hc in eV,1.360569253000000000000000000000E+01,3.000000000000000000000000000000E-07,eV
Rydberg constant times hc in J,2.179872171000000000000000000000E-18,9.600000000000000000000000000000E-26,J
"Sackur-Tetrode constant (1 K, 100 kPa)",-1.151707800000000000000000000000E+00,2.300000000000000000000000000000E-06,
"Sackur-Tetrode constant (1 K, 101.325 kPa)",-1.164870800000000000000000000000E+00,2.300000000000000000000000000000E-06,
second radiation constant,1.438777000000000000000000000000E-02,1.300000000000000000000000000000E-08,m K
shielded helion gyromag. ratio,2.037894659000000000000000000000E+08,5.100000000000000000000000000000E+00,s^-1 T^-1
shielded helion gyromag. ratio over 2 pi,3.243410084000000000000000000000E+01,8.100000000000000000000000000000E-07,MHz T^-1
shielded helion mag. mom.,-1.074553044000000000000000000000E-26,2.700000000000000000000000000000E-34,J T^-1
